Carbon Dioxide Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share,,,
Million tonnes of carbon dioxide,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020,2009-19,2020,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,260.3,271.7,285.5,308.3,320.5,344.9,351.6,368.0,393.7,400.2,400.9,415.4,438.8,427.2,433.9,443.0,423.6,410.0,391.1,412.8,408.6,398.3,412.0,442.8,462.3,449.8,433.0,447.2,443.2,457.8,476.4,485.3,498.4,514.6,518.1,538.0,540.1,553.2,562.0,559.2,560.3,553.1,578.5,564.6,536.1,550.1,554.7,551.1,564.6,571.8,570.2,553.3,565.9,576.2,578.0,517.7,-10.684%,0.8%,1.6%,,,
Mexico,62.1,65.1,66.6,72.2,79.1,84.2,89.5,99.7,107.7,120.9,141.7,149.2,154.6,179.7,187.6,206.8,224.9,234.3,226.7,232.7,239.9,234.2,244.1,243.8,256.3,269.9,279.2,282.2,286.8,310.4,299.2,315.5,334.3,352.7,343.4,363.0,359.4,377.0,378.0,393.6,420.3,432.9,440.7,459.4,453.8,454.8,473.0,476.7,483.2,471.2,475.2,480.4,486.1,477.1,459.8,373.2,-19.045%,0.1%,1.2%,,,
US,3451.9,3639.8,3738.2,3947.3,4117.4,4271.5,4309.1,4525.8,4739.5,4567.6,4394.3,4654.9,4799.0,4842.2,4930.5,4749.3,4601.7,4376.3,4337.4,4564.9,4581.3,4603.6,4756.8,4977.1,5066.0,4978.9,4932.1,5014.3,5124.1,5208.1,5243.7,5422.3,5497.3,5537.2,5580.3,5745.8,5656.1,5677.9,5743.1,5844.3,5879.8,5802.5,5892.2,5710.2,5298.4,5495.0,5348.4,5101.5,5268.3,5277.6,5165.6,5060.8,5003.2,5166.0,5029.4,4457.2,-11.619%,-0.5%,13.8%,,,
Total North America,3774.4,3976.5,4090.4,4327.8,4517.0,4700.6,4750.1,4993.5,5240.9,5088.6,4936.8,5219.5,5392.4,5449.2,5552.0,5399.2,5250.2,5020.6,4955.2,5210.4,5229.8,5236.2,5412.9,5663.6,5784.7,5698.5,5644.3,5743.7,5854.1,5976.3,6019.4,6223.1,6330.0,6404.4,6441.8,6646.7,6555.6,6608.0,6683.2,6797.1,6860.4,6788.4,6911.4,6734.1,6288.4,6499.9,6376.1,6129.4,6316.1,6320.5,6211.0,6094.5,6055.2,6219.4,6067.1,5348.1,-12.1%,-0.4%,16.6%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,82.2,84.5,86.9,89.3,92.2,85.9,90.8,91.6,94.9,97.1,97.9,103.0,108.0,105.5,113.3,108.7,103.1,103.6,106.2,105.0,101.8,105.5,109.3,115.8,112.5,105.5,107.5,113.4,112.2,118.4,123.3,130.5,128.8,134.4,138.2,132.6,122.0,117.7,127.6,138.8,146.6,152.5,166.2,167.7,160.0,168.8,174.8,183.7,189.4,189.5,192.8,191.5,189.7,187.5,175.8,164.1,-6.901%,0.9%,0.5%,,,
Brazil,51.5,56.2,58.0,68.1,74.3,83.9,92.2,103.5,123.6,133.4,140.0,150.3,156.8,169.6,177.2,176.6,168.5,169.4,165.4,172.9,180.0,194.1,199.5,202.9,206.8,198.6,207.9,218.1,229.2,239.4,253.8,273.2,287.0,298.3,301.9,306.4,316.1,315.3,311.4,325.8,334.8,339.1,353.6,377.3,357.2,403.1,427.2,445.7,485.8,508.0,490.7,454.1,460.6,445.5,444.9,417.5,-6.414%,2.2%,1.3%,,,
Chile,16.7,17.9,18.3,18.7,19.9,20.9,22.4,22.4,21.6,20.7,18.0,18.9,19.6,20.8,21.5,22.1,22.5,19.2,19.4,20.6,21.2,21.5,22.1,26.0,31.1,32.1,32.9,33.6,35.8,39.0,42.5,47.8,55.1,56.6,58.5,56.5,54.0,55.5,55.5,60.4,61.7,65.5,76.8,77.8,74.6,76.1,87.0,89.4,91.2,88.5,89.0,94.2,92.5,93.1,94.7,87.7,-7.584%,2.4%,0.3%,,,
