Year,Sales in thousands
1976,12969.8
1977,14481.9
1978,14981
1979,13758.4
1980,11197.5
1981,10563.6
1982,10357.3
1983,12107.1
1984,14205.1
1985,15425.1
1986,16044.3
1987,14875.1
1988,15443.2
1989,14520.7
1990,13859.7
1991,12309.4
1992,12857.3
1993,13882.7
1994,15044.9
1995,14728.4
1996,15097.1
1997,15121.9
1998,15543
1999,16893.7
2000,17349.7
2001,17122.4
2002,16816.2
2003,16639.1
2004,16866.9
2005,16948.2
2006,16504.1
2007,16089
2008,13194.8
2009,10402.3
2010,11554.8
2011,12741.8
2012,14433.2
2013,15530.1
2014,16452.2
2015,17408
2016,17477.3
2017,17150.1
2018,17224.9
2019,16961.1
2020,14471.8
