Year,Global Emissions
1965,3451.9
1966,3639.8
1967,3738.2
1968,3947.3
1969,4117.4
1970,4271.5
1971,4309.1
1972,4525.8
1973,4739.5
1974,4567.6
1975,4394.3
1976,4654.9
1977,4799
1978,4842.2
1979,4930.5
1980,4749.3
1981,4601.7
1982,4376.3
1983,4337.4
1984,4564.9
1985,4581.3
1986,4603.6
1987,4756.8
1988,4977.1
1989,5066
1990,4978.9
1991,4932.1
1992,5014.3
1993,5124.1
1994,5208.1
1995,5243.7
1996,5422.3
1997,5497.3
1998,5537.2
1999,5580.3
2000,5745.8
2001,5656.1
2002,5677.9
2003,5743.1
2004,5844.3
2005,5879.8
2006,5802.5
2007,5892.2
2008,5710.2
2009,5298.4
2010,5495
2011,5348.4
2012,5101.5
2013,5268.3
2014,5277.6
2015,5165.6
2016,5060.8
2017,5003.2
2018,5166
2019,5029.4
2020,4457.2
